data_id,cocktail_img,cocktail_name,recipe,recipe_detail
1,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FCcgcJ9j4iMHv0YASjmzo08gZXdGbJY1IaoNoFEti%3Ft%3D1447392267000,하이볼,알콜 도수 13도/제조법 쉐이킹/글라스 칵테일/주재료 화이트럼 : 다크럼 : 화이트큐라소 = 30ml : 20ml : 15ml/부재료 오렌지주스 : 파인애플주스 : 그레나딘시럽 : 레몬주스 = 100ml : 100ml : 10ml : 10ml,"/만드는 법/1. 얼음을 채운 쉐이커에 화이트럼, 다크럼, 화이트큐라소, 오렌지주스, 파인애플주스, 그레나딘시럽, 레몬주스를 넣어준다.2. 15회정도 쉐이킹한 후 준비된 글라스에 따른다."
2,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FGXwjJetoB6QZkTJOcpGYVEf1WYnqUuIHNDorpyD2%3Ft%3D1447392267000,피나콜라다,분류 식후칵테일/알콜 도수 7도/제조법 쉐이킹/글라스 고블렛/주재료 화이트럼 = 40ml/부재료 피나콜라다믹스 : 파인애플주스 = 40ml : 150ml,"/만드는 법/1. 얼음을 채운 쉐이커에 화이트럼, 피나콜라다믹스, 파인애플주스를 넣어준다.2. 15회정도 쉐이킹한 후 준비된 글라스에 따른다."
3,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FkUVv5oA3eAX20rjRI4uMRKi0ZgkdtLt1UJdStNLZ%3Ft%3D1447392267000,진토닉,"분류 롱드링크, 식후칵테일/알콜 도수 6도/제조법 빌딩/글라스 하이볼/주재료 진 = 45ml/부재료 토닉 = fill/장식 라임웨지","/유래/영국 식민지 시절 인도에 주둔해 있던 영국군들에 의해 만들어 졌다. 18세기 말라리아 예방으로 마시던 키니네 워터 자체가 매우 쓴맛이 강해 편히 마시기 위해 진을 첨가해서 마신 것이 유래다. 키니네 워터가 토닉으로 바뀌어 진앤 토닉이라는 세계에서 가장 대중적인 칵테일이 완성되었다./만드는 법/1. 준비된 글라스에 얼음을 가득 채운다.2. 글라스에 진, 토닉으로 채워준다.3. 바스푼으로 잘 저어준다."
4,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FJHLnhPH3wD1FLhcC8MQoqyC5IC312EK1zy6wcMbn%3Ft%3D1447392267000,잭콕,분류 롱드링크/알콜 도수 17도/제조법 빌딩/글라스 하이볼/주재료 잭다니엘 = 60ml/부재료 콜라 = fill/장식 라임슬라이스,"/만드는 법/1. 준비된 글라스에 얼음을 가득 채운다.2. 글라스에 잭다니엘, 콜라로 채워준다.3. 바스푼으로 잘 저어준다."
5,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FzEWdDzzkWyaLa0cXnsraJM7soDYZKghyDZdsnsGt%3Ft%3D1447392267000,블랙러시안,알콜 도수 17도/제조법 빌딩/글라스 온더락/주재료 보드카 : 커피리큐르 = 45ml : 22ml,"/유래/KGB에 저항하겠다는 의미가 담긴 칵테일이다./만드는 법/1. 준비된 글라스에 얼음을 가득 채운다.2. 글라스에 보드카, 커피리큐르로 채워준다.3. 바스푼으로 잘 저어준다.4. 파인애플 장식을 한다."
6,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FgAU22cH6pJpYGtgyleHr5NoAnpegx4zCjxqi5XAg%3Ft%3D1447392267000,섹스온더비치,"분류 롱드링크, 식후칵테일/알콜 도수 12도/제조법 쉐이킹/글라스 하이볼/주재료 보드카 : 복숭아리큐르 = 45ml : 20ml/부재료 크랜베리주스 : 자몽주스 : 라임주스 = 60ml : 30ml : 15ml/장식 파인애플, 오렌지슬라이스","/유래/톰크루즈 주연의 영화 '칵테일'에서 나온 칵테일로 젊은 여성들에게 큰 인기몰이를 한 칵테일이다./만드는 법/1. 얼음을 채운 쉐이커에 보드카, 복숭아리큐르, 크랜베리주스, 자몽주스, 라임주스를 넣어준다.2. 15회정도 쉐이킹한 후 준비된 글라스에 따른다."
7,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FwTs6kWnoKJOLbejNYMfbFu789t7O35ZcJHWZEQRE%3Ft%3D1447392267000,깔루아밀크,알콜 도수 14도/제조법 빌딩/글라스 온더락/주재료 깔루아 = 30ml/부재료 우유 = 60ml,"/만드는 법/1. 준비된 글라스에 얼음을 가득 채운다.2. 글라스에 깔루아, 우유로 채워준다.3. 바스푼으로 잘 저어준다."
8,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2F0ecOpi7Z3Xy6SKHe62vKRl9eEe1cKgjO10XRJucs%3Ft%3D1447392267000,오르가즘,알콜 도수 11도/제조법 쉐이킹/글라스 온더락/주재료 아마레토 : 베일리스 : 깔루아 = 30ml : 30ml : 30ml,"/유래/영화' 칵테일'에서 나온 칵테일로 여성에게 어필하기위한 칵테일로도 유명하다. 모든 재료를 넣고 쉐이킹 하거나 푸스카페 스타일로 재료를 층지게 따라 주는 등 여러가지 조주법을 가지고 있다./만드는 법/1. 얼음을 채운 쉐이커에 아마레토, 베일리스, 깔루아를 넣어준다.2. 15회정도 쉐이킹한 후 준비된 글라스에 따른다.3. 오렌지슬라이스, 필 장식을 한다."
9,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2FfviLuyoMGVbvUGcXHcrkAjneo3oNND2FDQQyHhd0%3Ft%3D1447392267000,갓파더,알콜 도수 13도/제조법 빌딩/글라스 온더락/주재료 스카치위스키 : 아마레또 = 45ml : 22ml,"/유래/1972년에 상영된 영화 '대부(The Godfather)'를 기념하여 만들어진 이 칵테일이다. '갓마더(Godmother)'라는 이름의 칵테일과 한쌍을 이룬다./만드는 법/1. 준비된 글라스에 얼음을 가득 채운다.2. 글라스에 스카치위스키, 아마레또로 채워준다.3. 바스푼으로 잘 저어준다."
10,https://t1.daumcdn.net/thumb/R0x300/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fencyclop%2Fm66%2Fc6s2dlR5wHIznk37YMxPngljf14LSW60v1OzxHYH%3Ft%3D1447392267000,마티니,분류 식후칵테일/알콜 도수 12도/제조법 스터링/글라스 칵테일/주재료 진 : 드라이베르뭇 = 45ml : 15ml/장식 올리브,"/만드는 법/1. 믹싱글라스에 얼음을 가득 채운다.2. 믹싱글라스에 진, 드라이베르뭇을  넣는다.3. 바스푼으로 믹싱글라스 벽면을 따라 잘 저어준다.4. 준비된 글라스에 스트레이너로 얼음을 걸러 부어준다."
